"File","Address","Printed","Calculated","Source","Result","FinalRowPadding"
"BP.ML","C000","9F","9F","OCR","MATCH",""
"BP.ML","C008","1D","1D","OCR","MATCH",""
"BP.ML","C010","B3","B3","OCR","MATCH",""
"BP.ML","C018","9B","9B","OCR","MATCH",""
"BP.ML","C020","CE","CE","OCR","MATCH",""
"BP.ML","C028","4E","4E","OCR","MATCH",""
"BP.ML","C030","AF","AF","OCR","MATCH",""
"BP.ML","C038","EA","EA","OCR","MATCH",""
"BP.ML","C040","56","56","OCR","MATCH",""
"BP.ML","C048","9E","9E","OCR","MATCH",""
"BP.ML","C050","C7","C7","OCR","MATCH",""
"BP.ML","C058","AA","AA","OCR","MATCH",""
"BP.ML","C060","54","54","OCR","MATCH",""
"BP.ML","C068","B7","B7","OCR","MATCH",""
"BP.ML","C070","0D","0D","Scan reviewed","MATCH",""
"BP.ML","C078","41","41","OCR","MATCH",""
"BP.ML","C080","20","20","OCR","MATCH",""
"BP.ML","C088","E6","E6","OCR","MATCH",""
"BP.ML","C090","72","72","OCR","MATCH",""
"BP.ML","C098","0F","0F","OCR","MATCH",""
"BP.ML","C0A0","7D","7D","OCR","MATCH",""
"BP.ML","C0A8","BE","BE","OCR","MATCH",""
"BP.ML","C0B0","C7","C7","OCR","MATCH",""
"BP.ML","C0B8","38","38","OCR","MATCH",""
"BP.ML","C0C0","14","14","OCR","MATCH",""
"BP.ML","C0C8","BC","BC","OCR","MATCH",""
"BP.ML","C0D0","41","41","OCR","MATCH",""
"BP.ML","C0D8","23","23","OCR","MATCH",""
"BP.ML","C0E0","EE","EE","OCR","MATCH",""
"BP.ML","C0E8","E8","E8","OCR","MATCH",""
"BP.ML","C0F0","44","44","OCR","MATCH",""
"BP.ML","C0F8","E3","E3","OCR","MATCH",""
"BP.ML","C100","A1","A1","Scan reviewed","MATCH",""
"BP.ML","C108","93","93","OCR","MATCH",""
"BP.ML","C110","E2","E2","OCR","MATCH",""
"BP.ML","C118","82","82","OCR","MATCH",""
"BP.ML","C120","1E","1E","OCR","MATCH",""
"BP.ML","C128","69","69","OCR","MATCH",""
"BP.ML","C130","AC","AC","OCR","MATCH",""
"BP.ML","C138","BE","BE","OCR","MATCH",""
"BP.ML","C140","DC","DC","OCR","MATCH",""
"BP.ML","C148","77","77","OCR","MATCH",""
"BP.ML","C150","4D","4D","OCR","MATCH",""
"BP.ML","C158","73","73","OCR","MATCH",""
"BP.ML","C160","7F","7F","OCR","MATCH",""
"BP.ML","C168","12","12","OCR","MATCH",""
"BP.ML","C170","12","12","OCR","MATCH",""
"BP.ML","C178","BA","BA","OCR","MATCH",""
"BP.ML","C180","59","59","OCR","MATCH",""
"BP.ML","C188","F0","F0","Scan reviewed","MATCH",""
